movieId,title,vote_average,vote_count,userId,rating
19995,Avatar,7.2,11800,165,3.6
285,Pirates of the Caribbean: At World's End,6.9,4500,677,3.45
206647,Spectre,6.3,4466,75,3.15
49026,The Dark Knight Rises,7.6,9106,551,3.8
49529,John Carter,6.1,2124,738,3.05
559,Spider-Man 3,5.9,3576,998,2.95
38757,Tangled,7.4,3330,834,3.7
99861,Avengers: Age of Ultron,7.3,6767,842,3.65
767,Harry Potter and the Half-Blood Prince,7.4,5293,131,3.7
209112,Batman v Superman: Dawn of Justice,5.7,7004,978,2.85
1452,Superman Returns,5.4,1400,154,2.7
10764,Quantum of Solace,6.1,2965,86,3.05
58,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,632,3.5
57201,The Lone Ranger,5.9,2311,597,2.95
49521,Man of Steel,6.5,6359,296,3.25
2454,The Chronicles of Narnia: Prince Caspian,6.3,1630,185,3.15
24428,The Avengers,7.4,11776,875,3.7
1865,Pirates of the Caribbean: On Stranger Tides,6.4,4948,292,3.2
41154,Men in Black 3,6.2,4160,914,3.1
122917,The Hobbit: The Battle of the Five Armies,7.1,4760,101,3.55
1930,The Amazing Spider-Man,6.5,6586,354,3.25
20662,Robin Hood,6.2,1398,869,3.1
57158,The Hobbit: The Desolation of Smaug,7.6,4524,923,3.8
2268,The Golden Compass,5.8,1303,940,2.9
254,King Kong,6.6,2337,673,3.3
597,Titanic,7.5,7562,505,3.75
271110,Captain America: Civil War,7.1,7241,628,3.55
44833,Battleship,5.5,2114,819,2.75
135397,Jurassic World,6.5,8662,45,3.25
37724,Skyfall,6.9,7604,439,3.45
558,Spider-Man 2,6.7,4321,62,3.35
68721,Iron Man 3,6.8,8806,140,3.4
12155,Alice in Wonderland,6.4,4645,893,3.2
36668,X-Men: The Last Stand,6.3,3525,55,3.15
62211,Monsters University,7.0,3528,891,3.5
8373,Transformers: Revenge of the Fallen,6.0,3138,650,3.0
91314,Transformers: Age of Extinction,5.8,3095,933,2.9
68728,Oz: The Great and Powerful,5.7,3530,172,2.85
102382,The Amazing Spider-Man 2,6.5,4179,280,3.25
20526,TRON: Legacy,6.3,2841,882,3.15
49013,Cars 2,5.8,2033,120,2.9
44912,Green Lantern,5.1,2487,487,2.55
10193,Toy Story 3,7.6,4597,465,3.8
534,Terminator Salvation,5.9,2463,844,2.95
168259,Furious 7,7.3,4176,27,3.65
72190,World War Z,6.7,5560,352,3.35
127585,X-Men: Days of Future Past,7.5,6032,3,3.75
54138,Star Trek Into Darkness,7.4,4418,978,3.7
81005,Jack the Giant Slayer,5.5,2598,732,2.75
64682,The Great Gatsby,7.3,3769,705,3.65
9543,Prince of Persia: The Sands of Time,6.2,2317,381,3.1
68726,Pacific Rim,6.7,4794,750,3.35
38356,Transformers: Dark of the Moon,6.1,3299,54,3.05
217,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,786,2.85
105864,The Good Dinosaur,6.6,1736,254,3.3
62177,Brave,6.7,4641,895,3.35
188927,Star Trek Beyond,6.6,2568,665,3.3
10681,WALL·E,7.8,6296,201,3.9
5174,Rush Hour 3,6.1,783,389,3.05
14161,2012,5.6,4903,712,2.8
17979,A Christmas Carol,6.6,1095,451,3.3
76757,Jupiter Ascending,5.2,2768,50,2.6
258489,The Legend of Tarzan,5.5,2430,91,2.75
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,479,3.35
246655,X-Men: Apocalypse,6.4,4721,938,3.2
155,The Dark Knight,8.2,12002,778,4.1
14160,Up,7.7,6870,141,3.85
15512,Monsters vs Aliens,6.0,1423,969,3.0
1726,Iron Man,7.4,8776,746,3.7
44826,Hugo,7.0,2141,25,3.5
8487,Wild Wild West,5.1,1020,641,2.55
1735,The Mummy: Tomb of the Dragon Emperor,5.2,1387,918,2.6
297761,Suicide Squad,5.9,7458,149,2.95
2698,Evan Almighty,5.3,1151,834,2.65
137113,Edge of Tomorrow,7.6,4858,940,3.8
9804,Waterworld,5.9,992,408,2.95
14869,G.I. Joe: The Rise of Cobra,5.6,1962,563,2.8
150540,Inside Out,8.0,6560,561,4.0
278927,The Jungle Book,6.7,2892,729,3.35
10138,Iron Man 2,6.6,6849,508,3.3
58595,Snow White and the Huntsman,5.8,3118,583,2.9
102651,Maleficent,7.0,4496,699,3.5
119450,Dawn of the Planet of the Apes,7.3,4410,412,3.65
64686,47 Ronin,5.9,1326,32,2.95
100402,Captain America: The Winter Soldier,7.6,5764,668,3.8
10192,Shrek Forever After,6.0,1959,99,3.0
158852,Tomorrowland,6.2,2846,831,3.1
177572,Big Hero 6,7.8,6135,294,3.9
82690,Wreck-It Ralph,7.1,4570,444,3.55
5255,The Polar Express,6.4,1474,497,3.2
47933,Independence Day: Resurgence,4.9,2491,608,2.45
10191,How to Train Your Dragon,7.5,4227,100,3.75
296,Terminator 3: Rise of the Machines,5.9,2143,118,2.95
118340,Guardians of the Galaxy,7.9,9742,311,3.95
157336,Interstellar,8.1,10867,850,4.05
27205,Inception,8.1,13752,169,4.05
315011,Shin Godzilla,6.5,143,306,3.25
49051,The Hobbit: An Unexpected Journey,7.0,8297,392,3.5
9799,The Fast and the Furious,6.6,3428,67,3.3
4922,The Curious Case of Benjamin Button,7.3,3292,631,3.65
49538,X-Men: First Class,7.1,5181,29,3.55
131634,The Hunger Games: Mockingjay - Part 2,6.6,3984,566,3.3
27022,The Sorcerer's Apprentice,5.8,1470,519,2.9
503,Poseidon,5.5,583,146,2.75
241259,Alice Through the Looking Glass,6.5,1725,303,3.25
810,Shrek the Third,6.0,2278,670,3.0
68735,Warcraft,6.3,2268,992,3.15
87101,Terminator Genisys,5.8,3631,589,2.9
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,238,3.1
676,Pearl Harbor,6.6,1791,877,3.3
1858,Transformers,6.6,4040,969,3.3
1966,Alexander,5.6,927,749,2.8
675,Harry Potter and the Order of the Phoenix,7.4,5494,251,3.7
674,Harry Potter and the Goblet of Fire,7.5,5608,993,3.75
8960,Hancock,6.2,2961,755,3.1
6479,I Am Legend,6.9,4853,150,3.45
118,Charlie and the Chocolate Factory,6.7,3624,859,3.35
2062,Ratatouille,7.5,4369,57,3.75
272,Batman Begins,7.5,7359,176,3.75
10527,Madagascar: Escape 2 Africa,6.2,1810,361,3.1
18360,Night at the Museum: Battle of the Smithsonian,5.9,1971,946,2.95
2080,X-Men Origins: Wolverine,6.2,4021,330,3.1
605,The Matrix Revolutions,6.4,3096,725,3.2
109445,Frozen,7.3,5295,954,3.65
604,The Matrix Reloaded,6.7,3443,679,3.35
76338,Thor: The Dark World,6.8,4755,541,3.4
76341,Mad Max: Fury Road,7.2,9427,311,3.6
13448,Angels & Demons,6.5,2129,696,3.25
10195,Thor,6.6,6525,807,3.3
13053,Bolt,6.3,1750,831,3.15
19585,G-Force,5.1,510,771,2.55
57165,Wrath of the Titans,5.5,1431,810,2.75
62213,Dark Shadows,5.7,2320,349,2.85
177677,Mission: Impossible - Rogue Nation,7.1,3224,459,3.55
7978,The Wolfman,5.5,549,910,2.75
5559,Bee Movie,5.7,1171,233,2.85
49444,Kung Fu Panda 2,6.7,1880,967,3.35
10196,The Last Airbender,4.7,1151,703,2.35
956,Mission: Impossible III,6.5,2028,461,3.25
117251,White House Down,6.4,1891,877,3.2
50321,Mars Needs Moms,5.5,199,676,2.75
11619,Flushed Away,6.0,874,936,3.0
266647,Pan,5.9,954,763,2.95
82703,Mr. Peabody & Sherman,6.7,843,671,3.35
652,Troy,6.9,2759,524,3.45
80321,Madagascar 3: Europe's Most Wanted,6.4,1808,499,3.2
36669,Die Another Day,5.8,1092,841,2.9
43074,Ghostbusters,5.3,2142,514,2.65
95,Armageddon,6.4,2482,595,3.2
608,Men in Black II,6.0,3114,874,3.0
2310,Beowulf,5.5,841,509,2.75
140300,Kung Fu Panda 3,6.7,1603,229,3.35
56292,Mission: Impossible - Ghost Protocol,6.8,3972,459,3.4
81188,Rise of the Guardians,7.1,1922,42,3.55
7552,Fun with Dick and Jane,5.9,627,433,2.95
616,The Last Samurai,7.3,1895,996,3.65
147441,Exodus: Gods and Kings,5.6,1921,257,2.8
13475,Star Trek,7.4,4518,132,3.7
557,Spider-Man,6.8,5265,948,3.4
82702,How to Train Your Dragon 2,7.6,3106,378,3.8
205584,Gods of Egypt,5.3,1277,915,2.65
10048,Stealth,4.9,331,640,2.45
13183,Watchmen,7.0,2811,695,3.5
944,Lethal Weapon 4,6.3,767,310,3.15
1927,Hulk,5.3,1533,577,2.65
72559,G.I. Joe: Retaliation,5.4,3025,904,2.7
7364,Sahara,5.7,434,749,2.85
2114,Final Fantasy: The Spirits Within,5.9,433,873,2.95
1771,Captain America: The First Avenger,6.6,7047,64,3.3
36643,The World Is Not Enough,6.0,862,162,3.0
8619,Master and Commander: The Far Side of the World,6.9,790,144,3.45
50620,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,82,3.05
65759,Happy Feet Two,5.8,373,817,2.9
1724,The Incredible Hulk,6.1,3021,484,3.05
267935,The BFG,6.0,1000,944,3.0
281957,The Revenant,7.3,6396,288,3.65
77950,Turbo,6.1,1074,265,3.05
44896,Rango,6.6,2051,621,3.3
270946,Penguins of Madagascar,6.5,1346,128,3.25
2503,The Bourne Ultimatum,7.3,2888,869,3.65
9502,Kung Fu Panda,6.9,3145,542,3.45
102899,Ant-Man,7.0,5880,53,3.5
101299,The Hunger Games: Catching Fire,7.4,6495,174,3.7
228161,Home,6.8,1519,565,3.4
74,War of the Worlds,6.2,2322,125,3.1
8961,Bad Boys II,6.3,1564,505,3.15
417859,Puss in Boots,6.4,451,222,3.2
27576,Salt,6.2,2093,913,3.1
86834,Noah,5.6,2350,319,2.8
17578,The Adventures of Tintin,6.7,2061,21,3.35
673,Harry Potter and the Prisoner of Azkaban,7.7,5877,451,3.85
6972,Australia,6.3,694,722,3.15
82700,After Earth,5.0,2532,204,2.5
10567,Dinosaur,6.2,542,605,3.1
181533,Night at the Museum: Secret of the Tomb,6.1,1851,850,3.05
38055,Megamind,6.7,1918,877,3.35
671,Harry Potter and the Philosopher's Stone,7.5,7006,724,3.75
49524,R.I.P.D.,5.4,1260,58,2.7
22,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,274,3.75
131631,The Hunger Games: Mockingjay - Part 1,6.6,5584,560,3.3
591,The Da Vinci Code,6.5,2704,514,3.25
172385,Rio 2,6.3,978,162,3.15
36658,X2,6.8,3506,82,3.4
51497,Fast Five,7.1,2438,947,3.55
58574,Sherlock Holmes: A Game of Shadows,7.0,3886,835,3.5
18823,Clash of the Titans,5.6,2233,503,2.8
861,Total Recall,7.1,1710,985,3.55
1911,The 13th Warrior,6.4,510,748,3.2
49040,The Bourne Legacy,6.0,2651,628,3.0
415,Batman & Robin,4.2,1418,935,2.1
8871,How the Grinch Stole Christmas,6.2,1386,52,3.1
435,The Day After Tomorrow,6.2,2392,910,3.1
955,Mission: Impossible II,5.9,1928,906,2.95
2133,The Perfect Storm,6.2,597,598,3.1
1979,Fantastic 4: Rise of the Silver Surfer,5.4,2589,221,2.7
87827,Life of Pi,7.2,5797,140,3.6
1250,Ghost Rider,5.2,1712,808,2.6
324668,Jason Bourne,5.9,2341,713,2.95
9471,Charlie's Angels: Full Throttle,5.2,914,778,2.6
70981,Prometheus,6.3,5080,967,3.15
10996,Stuart Little 2,5.4,613,63,2.7
68724,Elysium,6.4,3439,355,3.2
2789,The Chronicles of Riddick,6.3,1570,540,3.15
97020,RoboCop,5.7,2342,582,2.85
7459,Speed Racer,5.7,354,109,2.85
42888,How Do You Know,4.9,223,642,2.45
37834,Knight and Day,5.9,1547,517,2.95
75612,Oblivion,6.4,4800,81,3.2
1895,Star Wars: Episode III - Revenge of the Sith,7.1,4116,308,3.55
1894,Star Wars: Episode II - Attack of the Clones,6.4,3992,426,3.2
585,"Monsters, Inc.",7.5,5996,340,3.75
76170,The Wolverine,6.3,4053,144,3.15
1893,Star Wars: Episode I - The Phantom Menace,6.3,4432,417,3.15
49519,The Croods,6.8,2399,703,3.4
2395,Asterix at the Olympic Games,5.0,471,762,2.5
12100,Windtalkers,5.8,341,518,2.9
290595,The Huntsman: Winter's War,6.0,1523,668,3.0
98566,Teenage Mutant Ninja Turtles,5.8,2636,172,2.9
49047,Gravity,7.3,5751,365,3.65
9619,Dante's Peak,5.7,428,611,2.85
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963,740,2.9
166424,Fantastic Four,4.4,2278,848,2.2
1593,Night at the Museum,6.3,2862,305,3.15
254128,San Andreas,6.0,2968,490,3.0
714,Tomorrow Never Dies,6.0,925,121,3.0
2024,The Patriot,6.8,1099,335,3.4
163,Ocean's Twelve,6.4,2124,784,3.2
787,Mr. & Mrs. Smith,6.5,2965,473,3.25
262500,Insurgent,6.2,3829,371,3.1
2567,The Aviator,7.0,1489,233,3.5
38745,Gulliver's Travels,4.9,621,710,2.45
40805,The Green Hornet,5.5,1251,931,2.75
53182,300: Rise of an Empire,6.1,2397,267,3.05
41513,The Smurfs,5.5,1179,749,2.75
13700,Home on the Range,5.7,389,173,2.85
262504,Allegiant,5.9,1998,972,2.95
39254,Real Steel,6.6,2692,534,3.3
77931,The Smurfs 2,5.5,695,15,2.75
1639,Speed 2: Cruise Control,4.1,434,29,2.05
80274,Ender's Game,6.6,2303,937,3.3
1571,Live Free or Die Hard,6.4,2089,135,3.2
120,The Lord of the Rings: The Fellowship of the Ring,8.0,8705,180,4.0
10204,Around the World in 80 Days,5.7,672,270,2.85
8489,Ali,6.7,447,610,3.35
10588,The Cat in the Hat,4.9,366,474,2.45
2048,"I, Robot",6.7,3793,771,3.35
1495,Kingdom of Heaven,6.6,1157,551,3.3
10137,Stuart Little,5.8,959,596,2.9
10198,The Princess and the Frog,6.7,1247,367,3.35
286217,The Martian,7.6,7268,188,3.8
1635,The Island,6.5,1770,284,3.25
9679,Gone in Sixty Seconds,6.1,1485,823,3.05
98,Gladiator,7.9,5439,612,3.95
180,Minority Report,7.1,2608,771,3.55
672,Harry Potter and the Chamber of Secrets,7.4,5815,392,3.7
36557,Casino Royale,7.3,3855,633,3.65
869,Planet of the Apes,5.6,1243,459,2.8
280,Terminator 2: Judgment Day,7.7,4185,762,3.85
11322,Public Enemies,6.5,1344,102,3.25
4982,American Gangster,7.4,1502,458,3.7
36955,True Lies,6.8,1116,911,3.4
18487,The Taking of Pelham 1 2 3,6.2,954,227,3.1
39451,Little Fockers,5.4,1060,520,2.7
